REGION,STATE,CITY,POPULATION
Midwest,Minnesota,"Pennock, MN",510
South,Arkansas,"Wilmot, AR",507
South,Georgia,"Odum, GA",507
Midwest,Iowa,"Allerton, IA",507
South,Kentucky,"Houston Acres, KY",507
South,Kentucky,"Plum Springs, KY",506
Pacific,Alaska,"St. Paul, AK",504
Mountain,Idaho,"Craigmont, ID",503
Midwest,South Dakota,"Wilmot, SD",502
Mountain,Idaho,"Georgetown, ID",501
Northeast,New Jersey,"Corbin City, NJ",500
Pacific,Oregon,"Gates, OR",500
Midwest,Iowa,"Gilman, IA",499
South,Arkansas,"Humphrey, AR",498
South,Arkansas,"Wilmar, AR",498
Midwest,Missouri,"Burlington Junction, MO",498
Midwest,Iowa,"New Hartford, IA",495
Mountain,Idaho,"Lewisville, ID",494
Midwest,Missouri,"Hopkins, MO",494
South,Texas,"Leary, TX",492
Mountain,Idaho,"Mackay, ID",487
Midwest,Iowa,"Charter Oak, IA",487
Midwest,South Dakota,"White, SD",487
Mountain,Idaho,"Richfield, ID",486
Midwest,Kansas,"Protection, KS",485
Midwest,Iowa,"Albion, IA",484
Midwest,Minnesota,"Erskine, MN",484
Mountain,Idaho,"Pierce, ID",483
Midwest,Kansas,"Argonia, KS",483
South,Texas,"Dean, TX",483
Midwest,Minnesota,"Kandiyohi, MN",482
Midwest,Minnesota,"Woodland, MN",480
South,Arkansas,"McNeil, AR",479
Midwest,Missouri,"Arbyrd, MO",477
Midwest,South Dakota,"Lake Norden, SD",476
Midwest,Kansas,"Kanopolis, KS",475
Midwest,Minnesota,"Brewster, MN",475
South,Florida,"Sopchoppy, FL",473
Midwest,Wisconsin,"Bayfield, WI",473
Pacific,Alaska,"Galena, AK",472
South,Texas,"Byers, TX",472
Midwest,Iowa,"Pacific Junction, IA",470
Midwest,Michigan,"Mackinac Island, MI",470
Midwest,Minnesota,"Kiester, MN",469
South,Tennessee,"Ducktown, TN",469
Midwest,Michigan,"Harrisville, MI",467
South,Texas,"Lipan, TX",466
Midwest,Kansas,"Thayer, KS",465
South,Tennessee,"Gilt Edge, TN",464
Midwest,Minnesota,"Danube, MN",463
South,Arkansas,"Salesville, AR",462
Midwest,South Dakota,"Bridgewater, SD",462
Mountain,Idaho,"Weston, ID",461
Midwest,Missouri,"Hermitage, MO",461
South,Arkansas,"Calion, AR",459
Midwest,Iowa,"Lamont, IA",459
Midwest,Missouri,"Essex, MO",459
Midwest,Iowa,"Alleman, IA",458
Pacific,Oregon,"Mosier, OR",458
Mountain,Idaho,"Grand View, ID",457
Midwest,Minnesota,"Cosmos, MN",456
Midwest,South Dakota,"Emery, SD",455
Pacific,Alaska,"Marshall, AK",454
Midwest,Iowa,"Bayard, IA",454
Midwest,Kansas,"Norwich, KS",453
South,Kentucky,"Norbourne Estates, KY",453
Midwest,Missouri,"Avondale, MO",453
Pacific,Alaska,"Angoon, AK",452
Midwest,Iowa,"Titonka, IA",452
Midwest,Kansas,"Cunningham, KS",452
Midwest,North Dakota,"Fessenden, ND",452
Midwest,South Dakota,"Murdo, SD",452
South,Texas,"Oglesby, TX",452
Midwest,North Dakota,"Emerado, ND",450
South,Kentucky,"Briarwood, KY",448
Midwest,Kansas,"Kensington, KS",446
South,Tennessee,"Townsend, TN",445
Midwest,Kansas,"Chase, KS",444
South,Kentucky,"Island, KY",444
South,Arkansas,"Reyno, AR",443
Midwest,South Dakota,"Montrose, SD",442
South,Kentucky,"Sacramento, KY",441
Pacific,Washington,"Sprague, WA",441
Pacific,Alaska,"Gustavus, AK",440
South,Arkansas,"Jasper, AR",440
Midwest,Kansas,"Florence, KS",440
South,Texas,"Mount Enterprise, TX",440
Midwest,Kansas,"Bird City, KS",439
Midwest,Missouri,"Newburg, MO",439
Midwest,Missouri,"Ridgeway, MO",439
Midwest,South Dakota,"Leola, SD",439
Midwest,Iowa,"Riverdale, IA",438
Midwest,Kansas,"Potwin, KS",438
Midwest,Kansas,"Leonardville, KS",437
Pacific,Oregon,"Maupin, OR",437
Midwest,South Dakota,"Mount Vernon, SD",437
South,Kentucky,"Centertown, KY",436
Midwest,Missouri,"Washburn, MO",436
Midwest,Minnesota,"Wykoff, MN",435
Midwest,Kansas,"Holyrood, KS",433
South,Oklahoma,"Shidler, OK",433
South,Arkansas,"Evening Shade, AR",430
Midwest,Missouri,"Cooter, MO",430
South,Texas,"Ropesville, TX",428
South,Florida,"Everglades, FL",426
Midwest,North Dakota,"Finley, ND",425
South,Arkansas,"Belleville, AR",424
Pacific,Alaska,"Nuiqsut, AK",423
Midwest,Kansas,"Parkerfield, KS",419
Midwest,Iowa,"Plainfield, IA",418
Midwest,Minnesota,"Clinton, MN",418
Midwest,South Dakota,"Faith, SD",417
South,Kentucky,"Richlawn, KY",416
South,Arkansas,"Leslie, AR",415
Pacific,Oregon,"Haines, OR",415
Midwest,Iowa,"Bussey, IA",414
Midwest,Iowa,"New Vienna, IA",414
Midwest,Missouri,"Purcell, MO",414
Midwest,Kansas,"Edna, KS",413
Midwest,Iowa,"Andrew, IA",412
Midwest,Iowa,"Bonaparte, IA",411
Midwest,Iowa,"Cumming, IA",411
Midwest,Minnesota,"Nevis, MN",411
Midwest,South Dakota,"Irene, SD",411
Pacific,Alaska,"St. Michael, AK",410
Midwest,Iowa,"Calamus, IA",410
Midwest,Kansas,"Colony, KS",409
Midwest,Kansas,"McCune, KS",409
Midwest,Iowa,"Thornton, IA",408
Midwest,Minnesota,"New Germany, MN",408
Midwest,Iowa,"Mystic, IA",405
Pacific,Oregon,"Wasco, OR",405
Mountain,Idaho,"Fairfield, ID",402
Midwest,Iowa,"Milton, IA",402
Midwest,Kansas,"Axtell, KS",402
Midwest,South Dakota,"Hurley, SD",401
South,Arkansas,"Sparkman, AR",400
Mountain,Idaho,"Mud Lake, ID",397
Midwest,Kansas,"Williamsburg, KS",395
Midwest,Kansas,"Lucas, KS",394
South,Kentucky,"Fredonia, KY",393
South,Kentucky,"McHenry, KY",393
Midwest,Iowa,"Bennett, IA",389
Pacific,California,"Sand City, CA",387
Midwest,Missouri,"Alma, MO",386
Midwest,Kansas,"New Strawn, KS",385
South,Georgia,"Ambrose, GA",384
Mountain,Idaho,"Culdesac, ID",382
South,Texas,"Quitaque, TX",382
Mountain,Idaho,"Bancroft, ID",381
Midwest,Iowa,"Columbus City, IA",381
South,Kentucky,"Hunters Hollow, KY",381
Midwest,Kansas,"Altoona, KS",380
Midwest,Iowa,"Letts, IA",379
Midwest,Iowa,"Mondamin, IA",379
South,Texas,"Lake Bridgeport, TX",379
Midwest,Minnesota,"Hanska, MN",378
Midwest,Minnesota,"Chokio, MN",377
South,Georgia,"Leslie, GA",374
Midwest,Kansas,"Rolla, KS",373
Midwest,North Dakota,"Strasburg, ND",373
South,Oklahoma,"Kaw City, OK",373
Midwest,South Dakota,"White Lake, SD",372
Pacific,Oregon,"Rivergrove, OR",371
Midwest,Iowa,"Charlotte, IA",370
Midwest,Kansas,"Melvern, KS",369
Midwest,Missouri,"Wheatland, MO",366
Midwest,Iowa,"Livermore, IA",363
South,Texas,"Abbott, TX",363
South,Arkansas,"Clarkedale, AR",362
Midwest,Kansas,"Wetmore, KS",361
Midwest,Minnesota,"Badger, MN",360
Mountain,Idaho,"Declo, ID",359
Midwest,Missouri,"Breckenridge, MO",359
Midwest,Iowa,"Garrison, IA",358
South,Georgia,"Pinehurst, GA",357
Midwest,North Dakota,"Fairmount, ND",356
Midwest,North Dakota,"St. John, ND",356
South,Tennessee,"Watauga, TN",356
Midwest,Minnesota,"Askov, MN",354
South,Arkansas,"Wilton, AR",353
Midwest,Iowa,"Pierson, IA",353
Midwest,North Dakota,"Neche, ND",353
Midwest,North Dakota,"Stanton, ND",353
South,Georgia,"Ila, GA",351
Midwest,Kansas,"Mayetta, KS",351
Midwest,North Dakota,"Gladstone, ND",351
Midwest,Missouri,"Howardville, MO",350
South,Georgia,"Cobbtown, GA",349
Midwest,Iowa,"Farnhamville, IA",348
South,Texas,"Channing, TX",348
South,Georgia,"Sale City, GA",347
Midwest,Kansas,"Scandia, KS",347
South,Texas,"Morgan's Point, TX",347
Midwest,Iowa,"Clearfield, IA",346
Midwest,Iowa,"Terril, IA",345
South,Texas,"Leroy, TX",345
South,Arkansas,"Colt, AR",344
Midwest,Missouri,"Annapolis, MO",343
Midwest,Missouri,"Clarksburg, MO",343
Pacific,Alaska,"Anaktuvuk Pass, AK",341
Midwest,Missouri,"Altenburg, MO",341
Midwest,Missouri,"Huntleigh, MO",341
Midwest,Kansas,"Gorham, KS",340
Midwest,Missouri,"Downing, MO",340
Midwest,North Dakota,"Bowbells, ND",340
Pacific,Alaska,"Russian Mission, AK",338
Pacific,Alaska,"Anderson, AK",337
Midwest,North Dakota,"Arthur, ND",334
Midwest,North Dakota,"Kulm, ND",334
South,Kentucky,"Eubank, KY",332
Pacific,Alaska,"Kiana, AK",331
South,Kentucky,"Glenview Hills, KY",331
Midwest,Minnesota,"Grey Eagle, MN",331
Midwest,Missouri,"Lake Lafayette, MO",331
Midwest,Missouri,"Portage Des Sioux, MO",331
Midwest,North Dakota,"McVille, ND",331
Pacific,Oregon,"Sodaville, OR",331
South,Arkansas,"Arkansas City, AR",325
Pacific,Oregon,"Ione, OR",325
Pacific,Oregon,"Moro, OR",325
South,Kentucky,"Salt Lick, KY",323
South,Oklahoma,"Cedar Valley, OK",323
Midwest,Kansas,"Moline, KS",321
Midwest,Iowa,"Bronson, IA",319
Mountain,Idaho,"Cambridge, ID",318
Midwest,Iowa,"Irwin, IA",318
Midwest,Missouri,"Frankford, MO",318
South,Tennessee,"Copperhill, TN",318
Mountain,Idaho,"Newdale, ID",316
Midwest,North Dakota,"Buxton, ND",315
Midwest,South Dakota,"Bristol, SD",315
South,Arkansas,"Wheatley, AR",313
Midwest,Iowa,"McCausland, IA",313
South,Tennessee,"Cedar Hill, TN",312
Pacific,Alaska,"Nightmute, AK",311
Midwest,Kansas,"Bronson, KS",311
Midwest,Kansas,"Natoma, KS",311
South,Texas,"Blackwell, TX",311
Midwest,Iowa,"Peterson, IA",310
Pacific,Alaska,"Eek, AK",309
Pacific,Alaska,"Lower Kalskag, AK",309
Midwest,Iowa,"Auburn, IA",309
South,Georgia,"Keysville, GA",308
Midwest,Iowa,"Atalissa, IA",308
Midwest,Kansas,"Moscow, KS",308
Midwest,North Dakota,"Alexander, ND",308
Mountain,Idaho,"Kendrick, ID",307
South,Kentucky,"Vicco, KY",307
Midwest,North Dakota,"Oxbow, ND",307
Midwest,North Dakota,"Reynolds, ND",307
South,Texas,"Nordheim, TX",307
South,Arkansas,"Blevins, AR",306
Mountain,Idaho,"Bliss, ID",306
Midwest,Iowa,"Kellerton, IA",306
Midwest,Kansas,"Bazine, KS",305
Midwest,Kansas,"Tescott, KS",305
Midwest,Minnesota,"Plato, MN",305
South,Kentucky,"Arlington, KY",304
Pacific,Washington,"Prescott, WA",304
Midwest,Missouri,"East Lynne, MO",303
Midwest,Kansas,"Longton, KS",301
Midwest,Iowa,"Liscomb, IA",300
Midwest,South Dakota,"Roscoe, SD",299
South,Kentucky,"Bradfordsville, KY",298
Mountain,Idaho,"Clifton, ID",296
Midwest,Nebraska,"Long Pine, NE",296
South,Texas,"Eureka, TX",295
Midwest,Iowa,"Lytton, IA",294
Midwest,Kansas,"Copeland, KS",294
